link,rooms,price,flat_area,premium,district,address,latitude,longitude,subway,floor,type_of_house,type_of_rooms,type_of_condition,Unnamed: 14,prestigious,code type,closest_subway,subway_location,distance_to_subway,distance_category
https://rieltor.ua/flats-rent/view/10834307/,2.0,24500.0,109.0,ПРЕМІУМ,Дарницький,"Зарічна вул., 1-Б",50.39595032,30.59964752,,5,Українська цегла,Роздільне,Дизайнерський ремонт,,1,5,Славутич,"50.394167, 30.604167",0.3767705689115215,1
https://rieltor.ua/flats-rent/view/10832872/,2.0,24500.0,112.0,ПРЕМІУМ,Дарницький,"Зарічна вул., 1б",50.39595032,30.59964752,,5,Українська цегла,Кухня-вітальня,Дизайнерський ремонт,,1,5,Славутич,"50.394167, 30.604167",0.3767705689115215,1
https://rieltor.ua/flats-rent/view/10725408/,2.0,22000.0,94.0,ПРЕМІУМ,Печерський,"Лесі Українки бульв., 17",50.42968369,30.53692245,,4,Стара цегла,Роздільне,Євроремонт,,3,4,Печерська,"50.4275, 30.538889",0.2799360558056755,1
https://rieltor.ua/flats-rent/view/10766471/,2.0,22000.0,82.0,ПРЕМІУМ,Печерський,"Лесі Українки бульв., 17",50.42968369,30.53692245,,3,None,Роздільне,Дизайнерський ремонт,,3,5,Печерська,"50.4275, 30.538889",0.2799360558056755,1
https://rieltor.ua/flats-rent/view/10832868/,3.0,55410.0,161.0,ПРЕМІУМ,Печерський,"Предславинська вул., 42",50.41551208,30.5252018,Либідська,24,Українська цегла,Роздільне,Євроремонт,,3,4,"Палац ""Україна""","50.420833, 30.520833",0.667736706213934,1
https://rieltor.ua/flats-rent/view/10834583/,3.0,16000.0,118.0,ПРЕМІУМ,Печерський,"Лаврська вул., 4",50.43844986,30.55103111,,5,Стара цегла,Роздільне,Євроремонт,,3,4,Дніпро,"50.441111, 30.558611",0.6129542202410762,1
https://rieltor.ua/flats-rent/view/10770808/,1.0,15000.0,67.0,ПРЕМІУМ,Голосіївський,"Максимовича вул. (Трутенка Онуфрія), 24б",50.39334106,30.4744854,Васильківська,15,Бетонно монолітний,Студія,Дизайнерський ремонт,,2,5,Васильківська,"50.393333, 30.488056",0.9619968648155224,1
https://rieltor.ua/flats-rent/view/10831545/,3.0,16000.0,102.0,ПРЕМІУМ,Печерський,"Лаврська вул., 4",50.43844986,30.55103111,,5,Стара цегла,Суміжно-роздільна,Хороший стан,,3,3,Дніпро,"50.441111, 30.558611",0.6129542202410762,1
https://rieltor.ua/flats-rent/view/10618178/,1.0,12000.0,64.0,ПРЕМІУМ,Голосіївський,"Саксаганського вул., 54/56",50.43740463,30.50576782,,3,Типова панель,Роздільне,Хороший стан,,2,3,Університет,"50.444167, 30.505833",0.7519554034726006,1
https://rieltor.ua/flats-rent/view/10783286/,2.0,16000.0,132.0,ПРЕМІУМ,Шевченківський,"Артилерійський пров., 7а",50.46102142,30.42460442,,6,Українська цегла,Роздільне,Євроремонт,,3,4,Берестейська,"50.458333, 30.420833",0.400799298196468,1
https://rieltor.ua/flats-rent/view/10834517/,3.0,16000.0,114.0,ПРЕМІУМ,Печерський,"Лаврська вул., 4",50.43844986,30.55103111,,5,Стара цегла,Роздільне,Євроремонт,,3,4,Дніпро,"50.441111, 30.558611",0.6129542202410762,1
