rooms,price,flat_area,district,address,latitude,longitude,subway,prestigious
2,25000.0,131.0,Голосіївський,"Рудницького Степана вул. (Вільямса академіка), 19/14",50.38436508,30.4560318,Іподром,3
2,15500.0,114.0,Солом'янський,"Лобановського просп. (Червонозоряний), 4в",50.42233276,30.4624939,,2
1,7000.0,55.0,Оболонський,"Оболонський просп., 43",50.52085495,30.49764442,Героїв Дніпра,2
2,20000.0,117.0,Печерський,"Лесі Українки бульв., 5",50.43521118,30.53017426,,3
3,12000.0,140.0,Дарницький,"Драгоманова вул., 25",50.40409088,30.63778687,,1
2,11000.0,98.0,Голосіївський,"Саксаганського вул., 60",50.43755722,30.50500298,,3
3,55410.0,161.0,Печерський,"Предславинська вул., 42",50.41551208,30.5252018,Либідська,3
2,22000.0,81.0,Печерський,"Лесі Українки бульв., 17",50.42968369,30.53692245,,3
1,6500.0,62.0,Дніпровський,"Вершигори Петра вул., 1",50.49303818,30.57640648,,1
3,44328.0,140.0,Печерський,"Хрещатик вул., 23",50.44501495,30.52206039,,3
1,17000.0,70.0,Шевченківський,"Гоголевская, 27",50.45363235,30.4850769,,3
1,15000.0,45.0,Дарницький,"Осокорська вул., 2а",50.39749146,30.59981918,,1
1,13500.0,68.0,Голосіївський,"Максимовича вул. (Трутенка Онуфрія), 26б",50.39363098,30.47339249,Васильківська,3
2,55410.0,138.0,Подільський,"Набережно-Рибальська дорога вул., 9",50.48041534,30.53529167,,3
1,18000.0,90.0,Печерський,"Миколи Міхновського бульв. (Дружби Народів), 14-16",50.4140358,30.53945923,,3
4,84962.0,300.0,Печерський,"Євгена Коновальця вул. (Щорса), 32б",50.42583847,30.5324955,,3
3,22000.0,170.0,Шевченківський,"Велика Васильківська вул., 20",50.43981171,30.51712227,Площа Льва Толстого,3
2,36903.06,84.0,Оболонський,"Оболонський просп., 26",50.5135994,30.50030136,Мінська,2
4,48022.0,217.0,Оболонський,"Володимира Івасюка просп. (Героїв Сталінграда), 2",50.4899559,30.5285511,,2
3,33246.0,234.0,Печерський,"Ковпака вул., 17",50.41722488,30.52476311,Либідська,3
2,19000.0,124.0,Шевченківський,"Софіївська вул., 2",50.45160675,30.51980972,Майдан Незалежності,3
3,55410.0,155.0,Печерський,"Лесі Українки бульв., 7В",50.43465805,30.53124046,,3
2,19000.0,118.0,Шевченківський,"Софіївська вул., 4",50.45163727,30.52116394,Майдан Незалежності,3
3,33246.0,207.0,Голосіївський,"Юлії Здановської вул. (Ломоносова), 71",50.38745499,30.4716835,Виставковий центр,3
2,25000.0,110.0,Голосіївський,"Льва Толстого вул., 33",50.44133377,30.50233269,,3
2,16000.0,97.0,Шевченківський,"Пирогова вул., 2",50.44577408,30.50615883,,3
1,17000.0,109.0,Голосіївський,"Жилянська вул., 59",50.43771744,30.49960899,,3
2,27705.0,100.0,Шевченківський,"Берестейський просп. (Перемоги), 5-В",50.4465332,30.48665428,,3
2,29552.0,107.0,Шевченківський,"Глибочицька вул., 73",50.46321487,30.50396919,Контрактова площа,3
2,17500.0,80.0,Подільський,"Правди просп., 41а",50.50221252,30.42772102,,3
3,13000.0,121.0,Шевченківський,"Берестейський просп. (Перемоги), 19",50.44892502,30.47268295,,3
2,59104.0,124.0,Печерський,"Євгена Коновальця вул. (Щорса), 26а",50.42743301,30.53043365,,3
2,25000.0,130.0,Солом'янський,"Новопольова вул., 2",50.43251038,30.44280243,,2
1,13000.0,100.0,Солом'янський,"Гарматна вул., 37а",50.44474411,30.43234634,,2
5,36940.0,550.0,Дніпровський,"Окіпної Раїси вул., 10",50.44779968,30.59031296,,1
2,36940.0,134.0,Подільський,"Дегтярна вул., 6",50.45929718,30.51029205,Контрактова площа,3
3,29552.0,236.0,Печерський,"Старонаводницька вул., 6",50.42844391,30.54623985,,3
2,12000.0,148.0,Святошинський,"Палладіна академіка просп., 25",50.46718216,30.35410118,,2
1,10000.0,62.0,Оболонський,"Оболонський просп., 27 А",50.51703262,30.49590874,Героїв Дніпра,2
1,15000.0,67.0,Голосіївський,"Максимовича вул. (Трутенка Онуфрія), 24б",50.39334106,30.4744854,Васильківська,3
2,36940.0,160.0,Печерський,"Кловський узвiз, 7",50.43837738,30.53880501,,3
2,40634.0,148.0,Шевченківський,"Жилянська вул., 118",50.44173431,30.49664307,,3
2,20000.0,110.0,Шевченківський,"Львівська пл., 4",50.45584869,30.50724792,,3
2,51716.0,134.0,Печерський,"Джона Маккейна вул. (Кудрі Івана), 1",50.41391373,30.52643967,Либідська,3
2,23000.0,106.0,Шевченківський,"Сікорського Ігоря вул. (Танкова), 4д",50.4651947,30.42817307,,3
1,3700.0,44.0,Оболонський,"Богатирська вул., 14",50.52167892,30.48723221,Героїв Дніпра,2
3,30000.0,156.0,Печерський,"Лесі Українки бульв., 24",50.43009186,30.53510284,,3
