rooms,price,flat_area,district,address,subway,prestigious,Closest_subway,Closest_subway_location,Distance Text,Distance Value,Duration Text,Duration Value,target_location
2,25000.0,131.0,Голосіївський,"Рудницького Степана вул. (Вільямса академіка), 19/14",Іподром,3,Ipodrom,"50.37657470000001, 30.4688445",1.5 km,1485.0,19 mins,1150.0,"50.38436508,30.4560318"
2,15500.0,114.0,Солом'янський,"Лобановського просп. (Червонозоряний), 4в",,2,,,,,,,"50.42233276,30.4624939"
1,7000.0,55.0,Оболонський,"Оболонський просп., 43",Героїв Дніпра,2,Heroyiv Dnipra,"50.52273400000001, 30.49887",0.3 km,288.0,3 mins,207.0,"50.52085495,30.49764442"
2,20000.0,117.0,Печерський,"Лесі Українки бульв., 5",,3,Klovska,"50.4369687, 30.531807",1.0 km,1039.0,13 mins,753.0,"50.43521118,30.53017426"
3,12000.0,140.0,Дарницький,"Драгоманова вул., 25",,1,Pozniaky,"50.3978642, 30.6347451",1.0 km,964.0,12 mins,728.0,"50.40409088,30.63778687"
2,11000.0,98.0,Голосіївський,"Саксаганського вул., 60",,3,Universytet,"50.4432683, 30.5046312",1.0 km,1019.0,13 mins,800.0,"50.43755722,30.50500298"
3,55410.0,161.0,Печерський,"Предславинська вул., 42",Либідська,3,Lybidska,"50.41398259999999, 30.5248848",0.3 km,257.0,3 mins,194.0,"50.41551208,30.5252018"
2,22000.0,81.0,Печерський,"Лесі Українки бульв., 17",,3,Pecherska,"50.4272737, 30.539398",0.3 km,319.0,4 mins,240.0,"50.42968369,30.53692245"
1,6500.0,62.0,Дніпровський,"Вершигори Петра вул., 1",,1,Livoberezhna,"50.451864, 30.59815699999999",6.2 km,6190.0,1 hour 17 mins,4605.0,"50.49303818,30.57640648"
3,44328.0,140.0,Печерський,"Хрещатик вул., 23",,3,Khreshchatyk,"50.4473449, 30.5227597",0.4 km,423.0,6 mins,342.0,"50.44501495,30.52206039"
1,17000.0,70.0,Шевченківський,"Гоголевская, 27",,3,Lukianivska,"50.46114710000001, 30.48363239999999",0.9 km,916.0,12 mins,733.0,"50.45363235,30.4850769"
1,15000.0,45.0,Дарницький,"Осокорська вул., 2а",,1,Slavutych,"50.3942606, 30.6048644",1.5 km,1486.0,19 mins,1115.0,"50.39749146,30.59981918"
1,13500.0,68.0,Голосіївський,"Максимовича вул. (Трутенка Онуфрія), 26б",Васильківська,3,Vasylkivska,"50.393331, 30.488194",1.2 km,1185.0,15 mins,880.0,"50.39363098,30.47339249"
2,55410.0,138.0,Подільський,"Набережно-Рибальська дорога вул., 9",,3,Kontraktova ploshcha,"50.4659213, 30.5150353",2.7 km,2727.0,35 mins,2075.0,"50.48041534,30.53529167"
1,18000.0,90.0,Печерський,"Миколи Міхновського бульв. (Дружби Народів), 14-16",,3,Druzhby Narodiv,"50.41703299999999, 30.547317",0.9 km,944.0,13 mins,760.0,"50.4140358,30.53945923"
